waveplate_angle,diode_current
N/A,4.71E-09
N/A,4.84E-09
147,N/A
N/A,4.76E-09
147.5,N/A
N/A,4.59E-09
N/A,4.64E-09
148,N/A
N/A,4.48E-09
148.5,N/A
N/A,4.45E-09
N/A,4.38E-09
149,N/A
N/A,4.31E-09
149.5,N/A
N/A,4.31E-09
N/A,4.17E-09
150,N/A
N/A,4.25E-09
150.5,N/A
N/A,4.05E-09
N/A,4.18E-09
151,N/A
N/A,4.02E-09
151.5,N/A
N/A,3.95E-09
N/A,3.96E-09
152,N/A
N/A,3.86E-09
152.5,N/A
N/A,3.90E-09
N/A,3.81E-09
153,N/A
N/A,3.88E-09
153.5,N/A
N/A,3.84E-09
N/A,3.75E-09
154,N/A
N/A,3.77E-09
154.5,N/A
N/A,3.65E-09
155,N/A
N/A,3.71E-09
N/A,3.69E-09
155.5,N/A
N/A,3.67E-09
156,N/A
N/A,3.63E-09
N/A,3.66E-09
156.5,N/A
N/A,3.63E-09
157,N/A
N/A,3.65E-09
N/A,3.66E-09
157.5,N/A
N/A,3.60E-09
158,N/A
N/A,3.57E-09
N/A,3.66E-09
158.5,N/A
N/A,3.69E-09
159,N/A
N/A,3.74E-09
N/A,3.84E-09
159.5,N/A
N/A,3.76E-09
160,N/A
N/A,3.78E-09
N/A,3.87E-09
160.5,N/A
N/A,3.87E-09
161,N/A
N/A,3.90E-09
N/A,3.96E-09
161.5,N/A
N/A,3.99E-09
162,N/A
N/A,4.03E-09
N/A,4.12E-09
162.5,N/A
N/A,4.12E-09
163,N/A
N/A,4.19E-09
163.5,N/A
N/A,4.35E-09
N/A,4.34E-09
164,N/A
N/A,4.34E-09
164.5,N/A
N/A,4.53E-09
N/A,4.48E-09
165,N/A
N/A,4.64E-09
165.5,N/A
N/A,4.73E-09
N/A,4.62E-09
166,N/A
N/A,4.77E-09
166.5,N/A
N/A,4.89E-09
N/A,4.82E-09
167,N/A
N/A,5.02E-09
167.5,N/A
N/A,5.15E-09
N/A,5.07E-09
168,N/A
N/A,5.12E-09
168.5,N/A
N/A,5.40E-09
N/A,5.38E-09
169,N/A
N/A,5.45E-09
169.5,N/A
N/A,5.57E-09
N/A,5.62E-09
170,N/A
N/A,5.74E-09
170.5,N/A
N/A,5.79E-09
N/A,5.93E-09
171,N/A
N/A,5.96E-09
171.5,N/A
N/A,6.11E-09
N/A,6.18E-09
172,N/A
N/A,6.18E-09
172.5,N/A
N/A,6.34E-09
N/A,6.40E-09
173,N/A
N/A,6.39E-09
173.5,N/A
N/A,6.46E-09
174,N/A
N/A,6.48E-09
N/A,6.50E-09
174.5,N/A
N/A,6.66E-09
175,N/A
N/A,6.70E-09
N/A,6.62E-09
175.5,N/A
N/A,6.81E-09
176,N/A
N/A,6.84E-09
N/A,6.76E-09
176.5,N/A
N/A,6.80E-09
177,N/A
N/A,7.00E-09
N/A,6.87E-09
177.5,N/A
N/A,6.94E-09
178,N/A
N/A,7.02E-09
N/A,6.92E-09
178.5,N/A
N/A,6.96E-09
179,N/A
N/A,6.88E-09
N/A,6.88E-09
179.5,N/A
N/A,6.83E-09
180,N/A
N/A,6.76E-09
N/A,6.73E-09
180.49,N/A
N/A,6.76E-09
181,N/A
N/A,6.70E-09
181.5,N/A
N/A,6.53E-09
N/A,6.58E-09
182,N/A
N/A,6.50E-09
182.5,N/A
N/A,6.40E-09
N/A,6.49E-09
183,N/A
N/A,6.34E-09
183.5,N/A
N/A,6.23E-09
N/A,6.22E-09
184,N/A
N/A,6.11E-09
184.5,N/A
N/A,5.98E-09
N/A,6.03E-09
185,N/A
N/A,5.90E-09
185.5,N/A
N/A,5.76E-09
N/A,5.76E-09
186,N/A
N/A,5.58E-09
186.5,N/A
N/A,5.50E-09
N/A,5.47E-09
187,N/A
N/A,5.35E-09
187.5,N/A
N/A,5.30E-09
N/A,5.09E-09
188,N/A
N/A,5.09E-09
188.5,N/A
N/A,4.98E-09
N/A,4.87E-09
189,N/A
N/A,4.82E-09
189.5,N/A
N/A,4.69E-09
190,N/A
N/A,4.52E-09
N/A,4.54E-09
190.5,N/A
N/A,4.42E-09
191,N/A
N/A,4.33E-09
N/A,4.34E-09
191.5,N/A
N/A,4.18E-09
192,N/A
N/A,4.08E-09
N/A,4.05E-09
192.5,N/A
N/A,3.92E-09
193,N/A
N/A,3.83E-09
N/A,3.80E-09
193.5,N/A
N/A,3.65E-09
194,N/A
N/A,3.65E-09
N/A,3.61E-09
194.5,N/A
N/A,3.54E-09
195,N/A
N/A,3.46E-09
N/A,3.40E-09
195.5,N/A
N/A,3.36E-09
196,N/A
N/A,3.27E-09
N/A,3.24E-09
196.5,N/A
N/A,3.24E-09
197,N/A
N/A,3.26E-09
197.5,N/A
N/A,3.14E-09
N/A,3.09E-09
198,N/A
N/A,3.11E-09
198.5,N/A
N/A,3.02E-09
N/A,3.02E-09
199,N/A
N/A,3.02E-09
199.5,N/A
N/A,3.01E-09
N/A,3.02E-09
200,N/A
N/A,2.99E-09
200.5,N/A
N/A,2.96E-09
N/A,3.00E-09
201,N/A
N/A,3.02E-09
201.5,N/A
N/A,3.00E-09
N/A,2.98E-09
202,N/A
N/A,2.99E-09
202.5,N/A
N/A,2.98E-09
N/A,3.00E-09
203,N/A
N/A,3.08E-09
203.5,N/A
N/A,3.10E-09
N/A,3.14E-09
204,N/A
N/A,3.09E-09
204.5,N/A
N/A,3.23E-09
N/A,3.22E-09
205,N/A
N/A,3.18E-09
205.5,N/A
N/A,3.34E-09
N/A,3.31E-09
206,N/A
N/A,3.21E-09
206.5,N/A
N/A,3.44E-09
207,N/A
N/A,3.47E-09
N/A,3.43E-09
207.5,N/A
N/A,3.55E-09
208,N/A
N/A,3.67E-09
N/A,3.65E-09
208.5,N/A
N/A,3.79E-09
209,N/A
N/A,3.88E-09
N/A,3.86E-09
209.5,N/A
N/A,3.86E-09
210,N/A
N/A,3.94E-09
N/A,3.94E-09
210.5,N/A
N/A,4.19E-09
211,N/A
N/A,4.19E-09
N/A,4.24E-09
211.5,N/A
N/A,4.36E-09
212,N/A
N/A,4.47E-09
N/A,4.49E-09
212.5,N/A
N/A,4.49E-09
213,N/A
N/A,4.58E-09
N/A,4.82E-09
213.5,N/A
N/A,4.75E-09
214,N/A
N/A,4.90E-09
N/A,5.10E-09
214.5,N/A
N/A,5.17E-09
215,N/A
N/A,5.13E-09
215.5,N/A
N/A,5.15E-09
N/A,5.08E-09
216,N/A
N/A,5.26E-09
216.5,N/A
N/A,5.36E-09
N/A,5.26E-09
217,N/A
N/A,5.48E-09
217.5,N/A
N/A,5.64E-09
N/A,5.67E-09
218,N/A
N/A,5.68E-09
218.5,N/A
N/A,5.72E-09
N/A,5.65E-09
219,N/A
N/A,5.67E-09
219.5,N/A
N/A,5.74E-09
N/A,5.82E-09
220,N/A
N/A,5.76E-09
220.5,N/A
N/A,5.77E-09
N/A,5.95E-09
221,N/A
N/A,5.93E-09
221.5,N/A
N/A,5.68E-09
N/A,5.91E-09
222,N/A
N/A,5.87E-09
222.5,N/A
N/A,6.06E-09
N/A,6.07E-09
223,N/A
N/A,6.31E-09
223.5,N/A
N/A,6.07E-09
224,N/A
N/A,5.99E-09
N/A,6.19E-09
